Date,SPX,GLD,USO,SLV,EUR/USD
4/24/2008,1389,87.220001,93,17,1.56
4/28/2008,1396,87.690002,96,17,1.56
4/29/2008,1391,85.809998,93,16,1.56
05-01-2008,1409,83.989998,90,16,1.54
05-05-2008,1407,86.269997,97,17,1.55
05-06-2008,1418,86.629997,98,17,1.54
05-07-2008,1393,85.82,100,17,1.55
05-08-2008,1398,87.239998,101,17,1.55
05-12-2008,1404,86.989998,100,17,1.55
5/13/2008,1403,85.389999,102,17,1.55
5/14/2008,1409,85.199997,100,16,1.55
5/15/2008,1424,87,100,17,1.56
5/19/2008,1427,89.389999,103,17,1.57
5/20/2008,1413,90.900002,104,18,1.58
5/21/2008,1391,91.959999,108,18,1.57
5/22/2008,1394,90.980003,106,18,1.58
5/27/2008,1385,89.360001,104,17,1.57
5/28/2008,1391,89.139999,106,17,1.55
5/29/2008,1398,86.510002,102,16,1.55
06-02-2008,1386,87.959999,103,17,1.55
06-03-2008,1378,86.879997,101,17,1.54
06-04-2008,1377,86.650002,99,17,1.56
06-05-2008,1404,86.449997,104,17,1.58
06-09-2008,1362,87.989998,109,17,1.55
06-10-2008,1358,85.550003,107,16,1.56
06-11-2008,1335,87.019997,111,17,1.55
06-12-2008,1340,85.599998,111,16,1.54
6/16/2008,1360,87.010002,109,17,1.55
6/17/2008,1351,87.25,109,17,1.55
6/18/2008,1338,88.279999,111,17,1.55
6/19/2008,1343,88.419998,107,17,1.56
6/23/2008,1318,87.089996,111,17,1.56
6/24/2008,1314,87.470001,111,16,1.57
6/25/2008,1322,87.419998,109,17,1.58
6/26/2008,1283,90.610001,113,17,1.58
07-01-2008,1285,92.660004,115,18,1.59
07-02-2008,1262,93.169998,117,18,1.57
07-03-2008,1263,92.059998,117,18,1.57
07-07-2008,1252,91.230003,115,18,1.53
07-08-2008,1274,90.860001,110,18,1.57
07-09-2008,1245,91.5,110,18,1.58
07-10-2008,1253,93.529999,114,18,1.59
7/14/2008,1228,95.910004,117,19,1.59
7/15/2008,1215,96.169998,112,19,1.58
7/16/2008,1245,94.440002,109,19,1.59
7/17/2008,1260,94.220001,106,18,1.59
7/21/2008,1260,95.120003,107,18,1.58
7/22/2008,1277,93.059998,103,18,1.57
7/23/2008,1282,90.57,100,17,1.57
7/24/2008,1253,91.330002,101,17,1.57
7/28/2008,1234,91.730003,101,17,1.56
7/29/2008,1263,90.589996,98,17,1.56
7/30/2008,1284,89.519997,102,17,1.56
08-07-2008,1266,86.089996,96,16,1.50
8/25/2008,1267,80.93,93,13,1.46
8/26/2008,1272,81.230003,94,13,1.47
8/27/2008,1282,81.360001,96,13,1.47
8/28/2008,1301,82.18,93,14,1.47
09-02-2008,1278,79.199997,89,13,1.45
09-03-2008,1275,78.889999,88,13,1.43
09-04-2008,1237,78.389999,87,13,1.43
09-08-2008,1268,78.860001,86,12,1.41
09-09-2008,1225,76.489998,82,11,1.40
09-10-2008,1232,74.220001,83,11,1.40
09-11-2008,1249,73.080002,81,10,1.42
9/15/2008,1193,77.559998,76,11,1.41
9/16/2008,1214,76.790001,75,10,1.43
9/17/2008,1156,85.459999,78,12,1.43
9/18/2008,1207,82.800003,79,12,1.44
9/22/2008,1207,89.18,88,13,1.47
9/23/2008,1188,88.32,86,13,1.46
9/24/2008,1186,86.709999,85,13,1.46
9/25/2008,1209,86.449997,87,13,1.46
9/29/2008,1106,89.57,77,13,1.41
9/30/2008,1166,85.07,82,12,1.40
10-01-2008,1161,85.970001,80,12,1.38
10-02-2008,1114,82.330002,76,11,1.38
10-06-2008,1057,84.279999,72,11,1.36
10-07-2008,996,87.269997,72,11,1.50
10-08-2008,985,89.419998,72,12,1.36
10-09-2008,910,89.900002,70,12,1.34
10/13/2008,1003,81.989998,68,11,1.36
10/14/2008,998,82.199997,65,11,1.34
10/15/2008,908,83.309998,61,10,1.35
10/16/2008,946,79.290001,59,10,1.34
10/20/2008,985,78.5,62,10,1.31
10/21/2008,955,76.029999,59,10,1.28
10/22/2008,897,71.709999,55,9,1.29
10/23/2008,908,70.650002,57,9,1.26
10/27/2008,849,72.18,51,9,1.25
10/28/2008,941,73.790001,53,9,1.28
10/29/2008,930,74,56,10,1.30
10/30/2008,954,72.709999,54,10,1.29
10/31/2008,969,71.339996,56,10,1.27
11-03-2008,966,71.099998,52,10,1.26
11-04-2008,1006,75.480003,57,10,1.30
11-05-2008,953,72.800003,54,10,1.29
11-06-2008,905,72.220001,50,10,1.27
11-07-2008,931,72.5,50,10,1.27
11-10-2008,919,73.580002,51,10,1.27
11-11-2008,899,72.050003,48,10,1.25
11-12-2008,852,70,46,9,1.25
11/13/2008,911,72.150002,49,9,1.28
11/14/2008,873,73.300003,46,9,1.26
11/17/2008,851,72.650002,45,9,1.26
11/18/2008,859,72.510002,45,9,1.26
11/19/2008,807,72.260002,43,9,1.25
11/20/2008,752,73.449997,40,9,1.24
11/21/2008,800,78.849998,41,10,1.26
11/24/2008,852,80.910004,44,10,1.29
11/25/2008,857,80.870003,41,10,1.30
11/26/2008,888,80.379997,45,10,1.29
11/28/2008,896,80.309998,42,10,1.27
12-01-2008,816,75.650002,40,9,1.26
12-02-2008,849,76.949997,39,9,1.27
12-03-2008,871,76.18,38,10,1.27
12-04-2008,845,75.5,35,9,1.28
12-05-2008,876,74.519997,34,9,1.27
12-08-2008,910,76.199997,36,10,1.49
12-09-2008,889,76.330002,34,10,1.29
12-10-2008,899,79.75,36,10,1.30
12-11-2008,874,80.650002,39,10,1.33
12-12-2008,880,80.809998,38,10,1.34
12/15/2008,869,82.599998,37,11,1.37
12/16/2008,913,84.459999,36,11,1.41
12/17/2008,904,85.43,35,11,1.44
12/18/2008,885,83.870003,33,11,1.43
12/19/2008,888,82.629997,33,11,1.39
12/22/2008,872,83.459999,31,11,1.40
12/23/2008,863,82.629997,30,10,1.39
12/24/2008,868,83.459999,29,10,1.40
12/26/2008,873,85.599998,29,11,1.40
12/29/2008,869,86.349998,31,11,1.40
12/30/2008,891,85.900002,30,11,1.41
12/31/2008,903,86.519997,33,11,1.40
01-02-2009,932,86.230003,36,11,1.39
01-05-2009,927,84.480003,37,11,1.36
01-06-2009,935,85.129997,37,11,1.35
01-07-2009,907,82.75,33,11,1.36
01-08-2009,910,84.459999,33,11,1.37
01-09-2009,890,83.919998,32,11,1.35
01-12-2009,870,80.760002,31,11,1.34
1/13/2009,872,80.879997,32,11,1.32
1/14/2009,843,79.790001,31,10,1.32
1/15/2009,844,80.389999,30,10,1.32
1/16/2009,850,82.709999,30,11,1.33
1/20/2009,805,84.519997,29,11,1.29
1/21/2009,840,84.150002,31,11,1.30
1/22/2009,828,84.580002,30,11,1.30
1/23/2009,832,88.529999,32,12,1.30
1/26/2009,837,88.949997,32,12,1.32
1/27/2009,846,88.379997,30,12,1.32
1/28/2009,874,87.419998,30,12,1.32
1/29/2009,845,89.5,29,12,1.29
1/30/2009,826,91.309998,29,13,1.28
02-02-2009,825,88.839996,28,12,1.28
02-03-2009,839,88.470001,29,12,1.30
02-04-2009,832,89.18,28,12,1.29
02-05-2009,846,90.120003,29,13,1.28
02-06-2009,869,89.589996,28,13,1.29
02-09-2009,870,88.32,28,13,1.30
02-10-2009,827,90.209999,27,13,1.29
02-11-2009,834,92.290001,26,13,1.29
02-12-2009,835,93.169998,26,13,1.29
2/13/2009,827,92.550003,26,14,1.29
2/17/2009,789,95.449997,23,14,1.26
2/18/2009,788,96.910004,23,14,1.26
2/19/2009,779,95.769997,24,14,1.27
2/20/2009,770,97.800003,24,14,1.29
2/23/2009,743,97.730003,23,14,1.27
2/24/2009,773,94.730003,24,14,1.29
2/25/2009,765,93.150002,26,13,1.27
2/26/2009,753,93.059998,27,13,1.27
2/27/2009,735,92.629997,27,13,1.27
03-02-2009,701,90.93,24,13,1.26
03-03-2009,696,90.040001,25,13,1.25
03-04-2009,713,88.989998,28,13,1.26
03-05-2009,683,91.989998,27,13,1.25
03-06-2009,683,92.290001,28,13,1.26
03-09-2009,677,90.57,29,13,1.26
03-10-2009,720,88.139999,28,12,1.27
03-11-2009,721,89.220001,26,13,1.28
03-12-2009,751,91.099998,28,13,1.29
3/13/2009,757,91.300003,28,13,1.29
3/16/2009,754,90.800003,28,13,1.30
3/17/2009,778,90.040001,29,13,1.30
3/18/2009,794,93.089996,30,13,1.35
3/19/2009,784,94.349998,30,13,1.37
3/20/2009,769,93.589996,31,14,1.36
3/23/2009,823,92.080002,32,13,1.36
3/24/2009,806,90.949997,32,13,1.35
3/25/2009,814,91.980003,31,13,1.36
3/26/2009,833,91.93,32,13,1.35
3/27/2009,816,90.690002,31,13,1.33
3/30/2009,788,89.980003,29,13,1.32
3/31/2009,798,90.279999,29,13,1.32
04-01-2009,811,91.029999,29,13,1.35
04-02-2009,834,88.800003,31,13,1.35
04-06-2009,835,85.269997,30,12,1.33
04-07-2009,816,86.739998,29,12,1.33
04-08-2009,825,86.610001,29,12,1.32
04-09-2009,857,86.309998,31,12,1.32
4/13/2009,859,87.879997,30,13,1.33
4/14/2009,842,87.370003,29,13,1.32
4/15/2009,852,87.5,29,13,1.32
4/16/2009,865,85.809998,29,12,1.30
4/20/2009,832,86.949997,27,12,1.29
4/21/2009,850,86.889999,27,12,1.30
4/22/2009,844,87.379997,27,12,1.31
4/23/2009,852,88.800003,28,13,1.33
4/27/2009,858,89.010002,28,13,1.31
4/28/2009,855,87.75,28,12,1.33
4/29/2009,874,88.330002,29,13,1.32
4/30/2009,873,87.269997,29,12,1.33
05-04-2009,907,88.639999,31,13,1.33
05-05-2009,904,88.25,30,13,1.33
05-06-2009,920,89.540001,31,14,1.34
05-07-2009,907,89.440002,31,14,1.36
05-11-2009,909,89.690002,32,14,1.36
05-12-2009,908,90.699997,33,14,1.36
5/13/2009,884,91.089996,32,14,1.36
5/14/2009,893,91.029999,32,14,1.35
5/18/2009,910,90.360001,33,14,1.36
5/19/2009,908,90.959999,33,14,1.38
5/20/2009,903,92.25,34,14,1.39
5/21/2009,888,93.849998,33,14,1.40
5/26/2009,910,93.760002,34,14,1.38
5/27/2009,893,93.449997,35,15,1.39
5/28/2009,907,94.239998,35,15,1.42
06-01-2009,943,95.730003,37,15,1.43
06-02-2009,945,96.360001,38,16,1.41
06-03-2009,932,94.410004,36,15,1.42
06-04-2009,942,96.230003,38,16,1.40
06-08-2009,939,93.559998,38,15,1.41
06-09-2009,942,93.830002,38,15,1.40
06-10-2009,939,93.860001,39,15,1.41
06-11-2009,945,93.699997,40,15,1.40
6/15/2009,924,91.099998,39,14,1.38
6/16/2009,912,91.93,39,14,1.39
6/17/2009,911,92.349998,39,14,1.39
6/18/2009,918,91.610001,39,14,1.39
6/22/2009,893,90.540001,36,14,1.41
6/23/2009,895,90.919998,37,14,1.39
6/24/2009,901,91.449997,37,14,1.40
6/25/2009,920,92.309998,38,14,1.41
6/29/2009,927,92.040001,39,14,1.40
6/30/2009,919,91.18,38,13,1.41
07-01-2009,923,92.389999,37,14,1.40
07-02-2009,896,91.25,36,13,1.40
07-06-2009,899,90.760002,35,13,1.39
07-07-2009,881,90.709999,34,13,1.39
07-08-2009,880,89.269997,33,13,1.40
07-09-2009,883,89.510002,33,13,1.39
7/13/2009,901,90.190002,32,13,1.40
7/14/2009,906,90.809998,32,13,1.41
7/15/2009,933,92.239998,33,13,1.41
7/16/2009,941,91.980003,34,13,1.41
7/20/2009,951,93.279999,35,13,1.42
7/21/2009,955,93.129997,35,13,1.42
7/22/2009,954,93.440002,35,13,1.42
7/23/2009,976,93.260002,36,14,1.42
7/27/2009,982,93.709999,36,14,1.41
7/28/2009,980,92.110001,36,14,1.40
7/29/2009,975,91.199997,33,13,1.41
7/30/2009,987,91.620003,35,13,1.43
08-03-2009,1003,93.870003,38,14,1.44
08-04-2009,1006,94.68,38,14,1.44
08-05-2009,1003,94.779999,38,15,1.44
08-06-2009,997,94.599998,38,14,1.42
08-10-2009,1007,92.93,38,14,1.42
08-11-2009,994,92.790001,37,14,1.42
08-12-2009,1006,92.949997,37,14,1.43
8/13/2009,1013,93.720001,38,15,1.42
8/17/2009,980,91.610001,36,14,1.42
8/18/2009,990,92.059998,37,14,1.43
8/19/2009,996,92.529999,38,14,1.43
8/20/2009,1007,92.269997,38,14,1.43
8/24/2009,1026,92.339996,38,14,1.43
8/25/2009,1028,92.760002,37,14,1.42
8/26/2009,1028,92.790001,37,14,1.44
8/27/2009,1031,93.190002,38,14,1.44
8/31/2009,1021,93.400002,36,15,1.42
09-01-2009,998,93.900002,35,15,1.43
09-02-2009,995,96.190002,35,15,1.43
09-03-2009,1003,97.459999,35,16,1.43
09-08-2009,1025,97.43,37,16,1.45
09-09-2009,1033,97.080002,37,16,1.46
09-10-2009,1044,97.699997,37,16,1.46
9/14/2009,1049,97.959999,36,16,1.47
9/15/2009,1053,98.900002,37,17,1.47
9/16/2009,1069,99.910004,37,17,1.47
9/17/2009,1065,99.339996,37,17,1.47
9/21/2009,1065,98.360001,36,17,1.48
9/22/2009,1072,99.669998,37,17,1.47
9/23/2009,1061,98.830002,35,17,1.47
9/24/2009,1051,97.550003,34,16,1.47
9/28/2009,1063,97.050003,35,16,1.46
9/29/2009,1061,97.43,34,16,1.47
9/30/2009,1057,98.849998,36,16,1.45
10-01-2009,1030,97.889999,36,16,1.46
10-05-2009,1040,99.82,36,16,1.47
10-06-2009,1055,102.279999,37,17,1.47
10-07-2009,1058,102.360001,36,17,1.48
10-08-2009,1065,103.639999,37,18,1.47
10-12-2009,1076,103.559998,38,17,1.48
10/13/2009,1073,104.260002,38,17,1.49
10/14/2009,1092,104.18,39,18,1.50
10/15/2009,1097,102.860001,40,17,1.49
10/19/2009,1098,104.230003,41,17,1.49
10/20/2009,1091,103.419998,40,17,1.50
10/21/2009,1081,103.75,41,17,1.50
10/22/2009,1093,103.919998,41,17,1.50
10/26/2009,1067,101.860001,40,17,1.49
10/27/2009,1063,101.849998,41,16,1.48
10/28/2009,1043,100.730003,39,16,1.47
10/29/2009,1066,102.690002,41,16,1.48
10/30/2009,1036,102.529999,39,16,1.47
11-02-2009,1043,103.949997,40,16,1.48
11-03-2009,1045,106.459999,41,17,1.47
11-04-2009,1047,107.099998,41,17,1.49
11-05-2009,1067,106.980003,41,17,1.49
11-06-2009,1069,107.43,40,17,1.48
11-09-2009,1093,108.190002,41,17,1.50
11-10-2009,1093,108.389999,40,17,1.50
11-11-2009,1099,109.599998,41,17,1.50
11-12-2009,1087,108.209999,39,17,1.49
11/13/2009,1093,109.739998,39,17,1.49
11/16/2009,1109,111.629997,40,18,1.50
11/17/2009,1110,111.970001,40,18,1.49
11/18/2009,1110,112.25,41,18,1.50
11/19/2009,1095,112.300003,40,18,1.49
11/20/2009,1091,112.940002,39,18,1.49
11/23/2009,1106,114.290001,39,18,1.50
11/24/2009,1106,114.730003,39,18,1.50
11/25/2009,1111,116.620003,40,19,1.51
11/27/2009,1091,115.059998,39,18,1.50
11/30/2009,1096,115.639999,39,18,1.50
12-01-2009,1109,117.379997,40,19,1.51
12-02-2009,1109,119.18,39,19,1.51
12-03-2009,1100,118.699997,39,19,1.51
12-04-2009,1106,113.75,38,18,1.49
12-07-2009,1103,113.110001,37,18,1.48
12-08-2009,1092,110.949997,37,17,1.47
12-09-2009,1096,110.839996,36,17,1.47
12-10-2009,1102,110.82,36,17,1.47
12-11-2009,1106,109.32,35,17,1.46
12/14/2009,1114,110.239998,36,17,1.47
12/15/2009,1108,110.209999,36,17,1.45
12/16/2009,1109,111.589996,37,17,1.45
12/17/2009,1096,107.339996,36,17,1.43
12/18/2009,1102,108.949997,37,17,1.43
12/21/2009,1114,106.949997,36,17,1.43
12/22/2009,1118,106.169998,37,17,1.43
12/23/2009,1121,106.550003,38,17,1.43
12/24/2009,1126,108.360001,38,17,1.44
12/28/2009,1128,108.550003,39,17,1.44
12/29/2009,1126,107.470001,39,17,1.43
12/30/2009,1126,106.93,39,17,1.43
12/31/2009,1115,107.309998,39,17,1.43
01-04-2010,1133,109.800003,40,17,1.44
01-05-2010,1137,109.699997,40,18,1.44
01-06-2010,1137,111.510002,41,18,1.44
01-07-2010,1142,110.82,41,18,1.43
01-08-2010,1145,111.370003,41,18,1.44
01-11-2010,1147,112.849998,41,18,1.45
01-12-2010,1136,110.489998,40,18,1.45
1/13/2010,1146,111.540001,39,18,1.45
1/14/2010,1148,112.029999,39,18,1.45
1/15/2010,1136,110.860001,38,18,1.44
1/19/2010,1150,111.519997,39,18,1.43
1/20/2010,1138,108.940002,38,18,1.41
1/21/2010,1116,107.370003,37,17,1.41
1/22/2010,1092,107.169998,36,17,1.41
1/25/2010,1097,107.480003,37,17,1.42
1/26/2010,1092,107.559998,37,16,1.41
1/27/2010,1098,106.529999,36,16,1.40
1/28/2010,1085,106.480003,36,16,1.40
1/29/2010,1074,105.959999,36,16,1.39
02-01-2010,1089,108.349998,37,16,1.39
02-02-2010,1103,109.129997,38,16,1.40
02-03-2010,1097,108.699997,38,16,1.39
02-04-2010,1063,104.370003,36,15,1.37
02-05-2010,1066,104.68,35,15,1.37
02-08-2010,1057,104.040001,35,15,1.37
02-09-2010,1071,105.410004,36,15,1.38
02-10-2010,1068,105.120003,37,15,1.38
02-11-2010,1078,107.129997,37,15,1.37
02-12-2010,1076,107.040001,36,15,1.36
2/16/2010,1095,109.620003,38,16,1.38
2/17/2010,1100,109.25,38,16,1.36
2/18/2010,1107,109.980003,39,16,1.35
2/19/2010,1109,109.470001,39,16,1.36
2/22/2010,1108,109.07,39,16,1.36
2/23/2010,1095,107.889999,38,16,1.35
2/24/2010,1105,107.360001,39,16,1.35
2/25/2010,1103,108.309998,38,16,1.35
2/26/2010,1104,109.43,39,16,1.36
03-01-2010,1116,109.43,38,16,1.36
03-02-2010,1118,111.019997,39,17,1.36
03-03-2010,1119,111.629997,39,17,1.37
03-04-2010,1123,110.830002,39,17,1.36
03-05-2010,1139,110.809998,40,17,1.36
03-08-2010,1139,109.879997,40,17,1.36
03-09-2010,1140,109.720001,40,17,1.36
03-10-2010,1146,108.470001,40,17,1.36
03-11-2010,1150,108.599998,40,17,1.37
03-12-2010,1150,107.949997,40,17,1.38
3/15/2010,1151,108.360001,39,17,1.37
3/16/2010,1159,110.400002,40,17,1.38
3/17/2010,1166,109.589996,40,17,1.37
3/18/2010,1166,110.339996,40,17,1.36
3/19/2010,1160,108.279999,39,17,1.35
3/22/2010,1166,107.75,40,17,1.36
3/23/2010,1174,108.32,40,17,1.35
3/24/2010,1168,106.300003,39,16,1.33
3/25/2010,1166,106.779999,39,16,1.33
3/26/2010,1167,108.589996,39,17,1.34
3/29/2010,1173,108.75,40,17,1.34
3/30/2010,1173,107.970001,40,17,1.35
3/31/2010,1169,108.949997,40,17,1.36
04-01-2010,1178,110.260002,41,18,1.35
04-05-2010,1187,110.889999,42,18,1.34
04-06-2010,1189,111.029999,42,18,1.33
04-07-2010,1182,112.489998,42,18,1.34
04-08-2010,1186,112.650002,41,18,1.35
04-12-2010,1196,113.010002,41,18,1.36
4/13/2010,1197,112.690002,41,18,1.37
4/14/2010,1211,113.029999,42,18,1.36
4/15/2010,1212,113.650002,42,18,1.35
4/19/2010,1198,111.150002,40,17,1.34
4/20/2010,1207,111.459999,40,17,1.34
4/21/2010,1206,112.309998,40,18,1.33
4/22/2010,1209,111.839996,40,18,1.34
4/26/2010,1212,112.75,40,18,1.32
4/27/2010,1184,114.629997,39,18,1.32
4/28/2010,1191,114.309998,40,18,1.33
4/29/2010,1207,114.279999,41,18,1.33
05-03-2010,1202,115.730003,41,18,1.30
05-04-2010,1174,114.870003,40,18,1.28
05-05-2010,1166,115.089996,38,17,1.26
05-06-2010,1128,118.489998,37,17,1.28
05-10-2010,1160,117.57,37,18,1.26
05-11-2010,1156,120.660004,37,19,1.26
05-12-2010,1172,121.400002,37,19,1.25
5/13/2010,1157,120.559998,36,19,1.24
5/17/2010,1137,119.360001,34,19,1.22
5/18/2010,1121,119.489998,33,19,1.24
5/19/2010,1115,116.629997,34,18,1.25
5/20/2010,1072,115.839996,32,17,1.26
5/24/2010,1074,116.839996,32,18,1.23
5/25/2010,1074,117.360001,32,18,1.22
5/26/2010,1068,118.470001,33,18,1.23
5/27/2010,1103,118.690002,34,18,1.23
06-01-2010,1071,119.910004,33,18,1.22
06-02-2010,1098,119.779999,34,18,1.22
06-03-2010,1103,117.959999,34,18,1.20
06-07-2010,1050,121.489998,33,18,1.20
06-08-2010,1062,121,33,18,1.20
06-09-2010,1056,120.559998,34,18,1.21
06-10-2010,1087,118.970001,35,18,1.21
6/14/2010,1090,119.599998,34,18,1.23
6/15/2010,1115,120.989998,35,18,1.23
6/16/2010,1115,120.330002,35,18,1.24
6/17/2010,1116,121.900002,35,18,1.24
6/21/2010,1113,120.389999,35,18,1.23
6/22/2010,1095,121.449997,35,18,1.23
6/23/2010,1092,120.949997,34,18,1.23
6/24/2010,1074,121.300003,34,18,1.24
6/28/2010,1075,121.089996,35,18,1.22
6/29/2010,1041,121.269997,34,18,1.22
6/30/2010,1031,121.68,34,18,1.25
07-01-2010,1027,117.040001,33,17,1.26
07-06-2010,1028,116.510002,33,17,1.26
07-07-2010,1060,117.730003,34,18,1.27
07-08-2010,1070,117.209999,34,18,1.26
07-12-2010,1079,117.339996,34,18,1.27
7/13/2010,1095,118.360001,35,18,1.27
7/14/2010,1095,118.300003,35,18,1.29
7/15/2010,1096,118.230003,35,18,1.29
7/19/2010,1071,115.730003,34,17,1.29
7/20/2010,1083,116.650002,35,17,1.28
7/21/2010,1070,115.849998,34,17,1.29
7/22/2010,1094,116.860001,35,18,1.29
7/26/2010,1115,115.519997,35,18,1.30
7/27/2010,1114,113.510002,35,17,1.30
7/28/2010,1106,113.779999,34,17,1.31
7/29/2010,1102,114.290001,35,17,1.30
08-02-2010,1126,115.540001,36,18,1.32
08-03-2010,1120,115.989998,37,18,1.32
08-04-2010,1127,116.720001,37,18,1.32
08-05-2010,1126,116.980003,37,18,1.32
08-09-2010,1128,117.400002,37,18,1.32
08-10-2010,1121,117.730003,36,18,1.32
08-11-2010,1089,117.339996,35,18,1.28
08-12-2010,1084,118.769997,34,18,1.28
8/16/2010,1079,119.730003,34,18,1.28
8/17/2010,1093,119.75,34,18,1.29
8/18/2010,1094,120.220001,34,18,1.29
8/19/2010,1076,120.389999,33,18,1.28
8/23/2010,1067,119.779999,32,18,1.26
8/24/2010,1052,120.360001,32,18,1.26
8/25/2010,1055,121.360001,32,19,1.27
8/26/2010,1047,120.959999,33,19,1.27
8/30/2010,1049,120.910004,33,19,1.27
8/31/2010,1049,122.080002,32,19,1.27
09-01-2010,1080,121.690002,33,19,1.28
09-02-2010,1090,122.290001,33,19,1.28
09-07-2010,1092,122.699997,33,19,1.27
09-08-2010,1099,122.709999,33,20,1.27
09-09-2010,1104,121.559998,33,19,1.27
9/13/2010,1122,121.620003,34,20,1.29
9/14/2010,1121,124.019997,34,20,1.30
9/15/2010,1125,123.940002,33,20,1.30
9/16/2010,1125,124.629997,33,20,1.31
9/20/2010,1143,124.870003,33,20,1.31
9/21/2010,1140,126.010002,33,21,1.33
9/22/2010,1134,126.199997,33,21,1.34
9/23/2010,1125,126.300003,33,21,1.33
9/27/2010,1142,126.720001,33,21,1.34
9/28/2010,1148,127.849998,33,21,1.36
9/29/2010,1145,127.949997,34,21,1.36
9/30/2010,1141,127.910004,35,21,1.36
10-04-2010,1137,128.460007,36,22,1.37
10-05-2010,1161,130.990005,36,22,1.38
10-06-2010,1160,131.809998,36,23,1.39
10-07-2010,1158,130.369995,35,22,1.39
10-11-2010,1165,132.289993,36,23,1.39
10-12-2010,1170,131.960007,36,23,1.39
10/13/2010,1178,134.070007,36,23,1.40
10/14/2010,1174,134.75,36,24,1.41
10/18/2010,1185,134.279999,36,24,1.39
10/19/2010,1166,130.110001,35,23,1.37
10/20/2010,1178,131.320007,36,23,1.40
10/21/2010,1180,129.470001,35,23,1.39
10/25/2010,1186,130.850006,36,23,1.39
10/26/2010,1186,130.880005,36,23,1.39
10/27/2010,1182,129.520004,35,23,1.38
10/28/2010,1184,131.240005,35,23,1.38
11-01-2010,1184,131.919998,36,24,1.40
11-02-2010,1194,132.490005,36,24,1.39
11-03-2010,1198,131.570007,37,24,1.40
11-04-2010,1221,136.029999,37,26,1.41
11-05-2010,1226,136.380005,38,26,1.42
11-08-2010,1223,137.779999,38,27,1.41
